GrLivArea,SalePrice
1644,275000
907,109008
1208,195400
1412,175000
987,85400
1198,79900
1365,122500
1604,181000
630,81000
1661,212000
1118,116000
904,119000
694,90350
1196,110000
2402,555000
1440,118000
1573,162900
1258,172500
1908,210000
1689,127500
1888,190000
1886,199900
1376,119500
1183,120000
813,110000
1533,280000
1756,204000
1590,210000
1728,188000
1242,175500
1344,98000
1663,256000
1666,161000
1203,110000
1935,263435
1135,155000
864,62383
1660,188700
1040,124000
1414,178740
1277,167000
1644,146500
1634,250000
1710,187000
1502,212000
1969,190000
1072,148000
1976,440000
1652,251000
970,132500
1493,208900
2643,380000
1718,297000
1131,89471
1850,326000
1792,374000
1826,155000
1216,164000
999,132500
1113,147000
1073,156000
1484,175000
2414,160000
630,86000
1304,115000
1578,133000
1456,172785
1269,155000
886,91300
720,34900
3228,430000
1820,184000
899,130000
912,120000
1218,113000
1768,226700
1214,140000
1801,289000
1322,147000
1960,124500
1911,215000
1218,208300
1378,161000
1041,124500
1363,164900
1368,202665
864,129900
1080,134000
789,96500
2020,402861
2119,158000
2344,265000
1796,211000
2080,234000
1294,106250
1244,150000
1664,159000
4676,184750
2398,315750
